Time,URL,Response
"2/18/26, 6:37 AM",https://bondflorida.com/services/nebbia-hold-bail/west-palm-beach,Not found (404)
"2/18/26, 4:53 AM",https://bondflorida.com/services/domestic-violence-bail/west-palm-beach,Not found (404)
"2/17/26, 4:27 AM",https://bondflorida.com/county/lee/cape-coral,Not found (404)
"2/16/26, 11:03 PM",https://bondflorida.com/county/lee/fort-myers,Not found (404)
"2/16/26, 10:59 PM",https://bondflorida.com/county/palm-beach/west-palm-beach,Not found (404)
"2/16/26, 12:22 PM",https://bondflorida.com/.well-known/apple-app-site-association,Not found (404)
"2/16/26, 9:03 AM",https://bondflorida.com/apple-app-site-association,Not found (404)
"2/16/26, 12:13 AM",https://bondflorida.com/.well-known/apple-app-site-association,Not found (404)
"2/15/26, 8:14 PM",https://bondflorida.com/apple-app-site-association,Not found (404)
"2/15/26, 11:03 AM",https://bondflorida.com/.well-known/apple-app-site-association,Not found (404)
"2/15/26, 7:21 AM",https://bondflorida.com/apple-app-site-association,Not found (404)
"2/6/26, 6:06 PM",https://www.bondflorida.com/county/palm-beach/west-palm-beach,Not found (404)
"2/6/26, 1:27 PM",https://www.bondflorida.com/county/lee/fort-myers,Not found (404)
"2/5/26, 7:08 PM",https://www.bondflorida.com/services/domestic-violence-bail/west-palm-beach,Not found (404)
"2/5/26, 5:54 PM",https://www.bondflorida.com/services/nebbia-hold-bail/west-palm-beach,Not found (404)
"2/5/26, 1:18 PM",https://www.bondflorida.com/county/palm-beach/west-palm-beach,Not found (404)
"2/5/26, 10:45 AM",https://www.bondflorida.com/services/traffic-warrant-bail/west-palm-beach,Not found (404)
"2/5/26, 10:42 AM",https://www.bondflorida.com/services/dui-bail-bonds/west-palm-beach,Not found (404)
"2/5/26, 8:48 AM",https://www.bondflorida.com/county/lee/cape-coral,Not found (404)
"2/5/26, 7:28 AM",https://www.bondflorida.com/logo.jpg,Not found (404)
