path,service,city,status,indexable,wordCount,uniquePercent,hasSourceSection,hasReviewDate,decision,reason
"/services/24-hour-bail-bonds/apopka","24-hour-bail-bonds","apopka",200,false,346,48.7,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/belleview","24-hour-bail-bonds","belleview",200,false,324,50.4,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/boca-raton","24-hour-bail-bonds","boca-raton",200,false,360,53.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/bonita-springs","24-hour-bail-bonds","bonita-springs",200,false,377,55.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/bradenton","24-hour-bail-bonds","bradenton",200,false,328,57.1,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/brandon","24-hour-bail-bonds","brandon",200,false,332,51.1,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/cape-coral","24-hour-bail-bonds","cape-coral",200,false,371,54.2,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/clearwater","24-hour-bail-bonds","clearwater",200,false,327,50.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/cocoa","24-hour-bail-bonds","cocoa",200,false,335,58.7,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/dade-city","24-hour-bail-bonds","dade-city",200,false,352,51.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/fort-lauderdale","24-hour-bail-bonds","fort-lauderdale",200,false,348,49.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/fort-myers","24-hour-bail-bonds","fort-myers",200,false,368,54.2,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/hialeah","24-hour-bail-bonds","hialeah",200,false,338,48.4,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/hollywood","24-hour-bail-bonds","hollywood",200,false,333,49.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/jacksonville-beach","24-hour-bail-bonds","jacksonville-beach",200,false,360,58.4,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/lake-city","24-hour-bail-bonds","lake-city",200,false,350,58,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/lakeland","24-hour-bail-bonds","lakeland",200,false,333,50.2,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/miami","24-hour-bail-bonds","miami",200,false,335,45.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/miami-beach","24-hour-bail-bonds","miami-beach",200,false,358,45.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/new-port-richey","24-hour-bail-bonds","new-port-richey",200,false,368,51.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/ocala","24-hour-bail-bonds","ocala",200,false,327,50.4,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/orlando","24-hour-bail-bonds","orlando",200,false,345,48.7,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/plant-city","24-hour-bail-bonds","plant-city",200,false,342,50.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/pompano-beach","24-hour-bail-bonds","pompano-beach",200,false,352,51.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/st-petersburg","24-hour-bail-bonds","st-petersburg",200,false,347,50.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/tampa","24-hour-bail-bonds","tampa",200,false,329,50.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/vero-beach","24-hour-bail-bonds","vero-beach",200,false,355,57.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/wesley-chapel","24-hour-bail-bonds","wesley-chapel",200,false,351,51.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/west-palm-beach","24-hour-bail-bonds","west-palm-beach",200,false,373,53.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/winter-haven","24-hour-bail-bonds","winter-haven",200,false,345,50.2,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/winter-park","24-hour-bail-bonds","winter-park",200,false,360,49.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/24-hour-bail-bonds/yulee","24-hour-bail-bonds","yulee",200,false,347,59.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/apopka","domestic-violence-bail","apopka",200,false,344,48.7,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/belleview","domestic-violence-bail","belleview",200,false,322,50.4,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/boca-raton","domestic-violence-bail","boca-raton",200,false,358,53.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/bonita-springs","domestic-violence-bail","bonita-springs",200,false,375,55.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/bradenton","domestic-violence-bail","bradenton",200,false,326,57.1,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/brandon","domestic-violence-bail","brandon",200,false,330,51.1,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/cape-coral","domestic-violence-bail","cape-coral",200,false,369,54.2,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/clearwater","domestic-violence-bail","clearwater",200,false,325,50.3,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/cocoa","domestic-violence-bail","cocoa",200,false,333,58.7,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/dade-city","domestic-violence-bail","dade-city",200,false,350,51.6,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
"/services/domestic-violence-bail/fort-lauderdale","domestic-violence-bail","fort-lauderdale",200,false,346,49.8,false,false,"noindex-until-reviewed","below-60-percent-unique;no-authoritative-source-record;no-review-date"
